variable,type,overall,dev,train,test,easy,medium,hard
map_below_65_sec,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
map_current,field,98.03,90.07,98.08,97.99,99.27,98.45,96.26
map_delta_abs,field,98.03,90.07,98.08,97.99,99.27,98.45,96.26
map_delta_pct,field,97.60,90.07,97.64,97.57,98.76,97.99,95.94
map_n_pts_short,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
map_slope_long,field,97.52,89.60,97.57,97.37,98.78,97.95,95.68
map_slope_short,field,96.71,86.29,96.79,96.27,97.88,97.20,94.85
map_trend,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
map_trend_code,field,97.52,89.60,97.57,97.37,98.78,97.95,95.68
monitoring_type,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
n_actions_hist,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
